"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5403","Contribuição - Validar campos obrigatórios","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","6482","Simulação - Deve navegar entre períodos do gráfico","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","7097","Contribuição - Pagamento com cartão de débito","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","6421","Contribuição - Pagamento com cartão de débito","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","15120","Endereço - Bloquear CEP inválido","Mobile Edge","2026-06-05","failed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","5917","Contribuição - Bloquear valor mensal menor que R$ 100,00","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","7092","Contribuição - Pagamento com Desconto em Folha","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","5538","Contribuição - Bloquear valor mensal menor que R$ 100,00","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","5730","Simulação - Deve navegar entre períodos do gráfico","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","6576","Contribuição - Pagamento com Desconto em Folha","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","7581","Contribuição - Validar CPF inválido","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","4712","Endereço - Validar campos obrigatórios","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","2676","Informações do Titular - Validar campos obrigatórios","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","4321","Informações do Titular - Bloquear e-mail inválido","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","15478","Endereço - Bloquear CEP inválido","Mobile Chrome","2026-06-05","failed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","7237","Contribuição - Validar CPF inválido","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","4611","Endereço - Validar campos obrigatórios","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","5476","Contribuição - Validar campos obrigatórios","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","5637","Simulação - Deve exibir resumo da simulação","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","2774","Informações do Titular - Validar campos obrigatórios","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","4066","Informações do Titular - Bloquear e-mail inválido","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","4974","Endereço - Validar campos obrigatórios","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","6613","Capitalprev - Adesão - Fluxo completo","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-FluxoCompleto.spec.ts","",""
